Player: Andy Cole, Season: Total
Player: Ashley Cole, Season: Total
Player: Angelo Colombo, Season: Total
Player: Mário Coluna, Season: 
Player: Mário Coluna, Season: 
Player: Mário Coluna, Season: Total
Player: Flávio Conceição, Season: Total
Player: Antonio Conte, Season: Total
Player: Diego Contento, Season: Total
Player: Pedro Contreras, Season: 
Player: Pedro Contreras, Season: Total
Player: Iván Córdoba, Season: Total
Player: Mario Corso, Season: 
Player: Mario Corso, Season: Total
Player: Jair da Costa, Season: 1960?–1962?
Player: Jorge Costa, Season: Total
Player: Ricardo Costa, Season: Total
Player: Rui Costa, Season: Position(s)
Player: Rui Costa, Season: Total
Player: Alessandro Costacurta, Season: 
Player: Alessandro Costacurta, Season: Total
Player: Costinha, Season: Total
Player: Jim Craig, Season: 
Player: Jim Craig, Season: Total
Player: Pat Crerand, Season: Total
Player: Johan Cruyff, Season: Total
Player: Fernando Cruz, Season: Total
Player: Fabio Cudicini, Season: Total
Player: Joop van Daele, Season: 
Player: Joop van Daele, Season: 
Player: Joop van Daele, Season: Total
Player: Kenny Dalglish, Season: Total
Player: Samuele Dalla Bona, Season: Total
Player: Mario David, Season: Total
Player: Edgar Davids, Season: Total
Player: Alphonso Davies, Season: 
Player: Alphonso Davies, Season: 
Player: Fernando De Napoli, Season: 
Player: Fernando De Napoli, Season: Total
Player: Deco, Season: Total
Player: Alessandro Del Piero, Season: Total
Player: Derlei, Season: Total
Player: Marcel Desailly, Season: Total
Player: Didier Deschamps, Season: Total
Player: Angelo Di Livio, Season: Total
Player: Éric Di Meco, Season: Total
Player: Alfredo Di Stéfano, Season: Total
Player: Alfredo Di Stéfano, Season: 
Player: Dida, Season: Total
Player: Virgil van Dijk, Season: 
Player: Igor Dobrovolski, Season: 
Player: Igor Dobrovolski, Season: Total
Player: Roberto Donadoni, Season: Total
Player: Bernd Dreher, Season: Total
Player: Didier Drogba, Season: 
Player: Didier Drogba, Season: Total
Player: Helmuth Duckadam, Season: Total
Player: Jerzy Dudek, Season: Total
Player: Theo van Duivenbode, Season: 
Player: Theo van Duivenbode, Season: Total
Player: Tony Dunne, Season: 
Player: Tony Dunne, Season: Total
Player: Jean-Philippe Durand, Season: ?-1980
Player: Jean-Philippe Durand, Season: Total
Player: Bernd Dürnberger, Season: 
Player: Bernd Dürnberger, Season: Total
Player: Edmílson, Season: Total
Player: Eduardo Luís, Season: Total
Player: Stefan Effenberg, Season: Total
Player: Giovane Élber, Season: Total
Player: Pedro Emanuel, Season: Total
Player: Nuno Espírito Santo, Season: Total
Player: Michael Essien, Season: Total
Player: Samuel Eto'o, Season: Position(s)
Player: Samuel Eto'o, Season: Total
Player: Eusébio, Season: 
Player: Eusébio, Season: Total
Player: Eusebio, Season: 
Player: Eusebio, Season: Total
Player: Alberico Evani, Season: Total
Player: Jonny Evans, Season: 
Player: Patrice Evra, Season: Total
Player: Jean-Jacques Eydelie, Season: Total
Player: Santiago Ezquerro, Season: Total
Player: David Fairclough, Season: Total
Player: John Fallon, Season: 
Player: John Fallon, Season: Total
Player: Giuseppe Favalli, Season: Total
Player: Wolfgang Feiersinger, Season: 
Player: Wolfgang Feiersinger, Season: Total
Player: Pedro de Felipe, Season: 
Player: Pedro de Felipe, Season: Total
Player: Rio Ferdinand, Season: Total
Player: Ciro Ferrara, Season: Total
Player: Marco Ferreira, Season: Total
Player: Paulo Ferreira, Season: Total
Player: Jean-Marc Ferreri, Season: Total
Player: Festas, Season: Total
Player: Luís Figo, Season: Total
Player: Thorsten Fink, Season: Total
Player: Steve Finnan, Season: Total
Player: Valerio Fiori, Season: Total
Player: Darren Fletcher, Season: 
Player: Darren Fletcher, Season: 
Player: Darren Fletcher, Season: 
Player: Darren Fletcher, Season: Total
Player: Bill Foulkes, Season: 
Player: Trevor Francis, Season: Total
Player: António Frasco, Season: Total
Player: Steffen Freund, Season: 
Player: Steffen Freund, Season: Total
Player: Paulo Futre, Season: Total
Player: Gabri, Season: Total
Player: Filippo Galli, Season: Total
Player: Giovanni Galli, Season: 
Player: Giovanni Galli, Season: Total
Player: Dani García, Season: Total
Player: Luis García, Season: Total
Player: Gennaro Gattuso, Season: Total
Player: Celso Gavião, Season: 
Player: Celso Gavião, Season: 
Player: Tommy Gemmell, Season: Total
Player: Archie Gemmill, Season: Total
Player: Paco Gento, Season: 
Player: Paco Gento, Season: 
Player: Paco Gento, Season: 
Player: Paco Gento, Season: Total
Player: Paco Gento, Season: 
Player: Finidi George, Season: Total
Player: Geremi, Season: Total
Player: Eric Gerets, Season: Total
Player: Steven Gerrard, Season: Total
Player: Giorgio Ghezzi, Season: 
Player: Giorgio Ghezzi, Season: Total
Player: Ryan Giggs, Season: 
Player: Alberto Gilardino, Season: 
Player: Alberto Gilardino, Season: Total
Player: Hans Gillhaus, Season: Total
Player: Ludovic Giuly, Season: Total
Player: Jon Andoni Goikoetxea, Season: 
Player: Jon Andoni Goikoetxea, Season: Total
Player: Berkant Göktan, Season: Total
Player: Fernando Gomes, Season: Total
Player: Mario Gómez, Season: Total
Player: Rubén González, Season: 
Player: Rubén González, Season: 
Player: Rubén González, Season: 
Player: Rubén González, Season: Total
Player: Yoann Gourcuff, Season: Total
Player: Raimond van der Gouw, Season: 
Player: Raimond van der Gouw, Season: Total
Player: Jack Grealish, Season: 
Player: Jonathan Greening, Season: Total
Player: Fred Grim, Season: Total
Player: Ramón Grosso, Season: 
Player: Ramón Grosso, Season: Total
Player: Pep Guardiola, Season: Total
Player: Eiður Guðjohnsen, Season: Total
Player: Ruud Gullit, Season: Total
Player: Guti, Season: Total
Player: Guus Haak, Season: Total
Player: Arie Haan, Season: Total
Player: Dietmar Hamann, Season: Total
Player: Kurt Hamrin, Season: Total
Player: Willem van Hanegem, Season: 
Player: Willem van Hanegem, Season: Total
Player: Alan Hansen, Season: 
Player: Alan Hansen, Season: Total
Player: Allan Hansen, Season: 
Player: Johnny Hansen, Season: Total
Player: Owen Hargreaves, Season: Total
Player: Franz Hasil, Season: 
Player: Eden Hazard, Season: Total
Player: Thomas von Heesen, Season: Total
Player: Steve Heighway, Season: 
Player: Steve Heighway, Season: Total
Player: Jörg Heinrich, Season: Total
Player: Jan Heintze, Season: Total
Player: Iván Helguera, Season: 
Player: Iván Helguera, Season: Total
Player: Thomas Helveg, Season: 
Player: Thomas Helveg, Season: 
Player: Thomas Helveg, Season: 
Player: Thomas Helveg, Season: Total
Player: Thierry Henry, Season: Total
Player: Chus Herrera, Season: Total
Player: Heiko Herrlich, Season: Total
Player: Fernando Hierro, Season: Total
Player: Alexander Hleb, Season: Total
Player: Uli Hoeneß, Season: Total
Player: Udo Horsmann, Season: Total
Player: Horst Hrubesch, Season: Total
Player: Emlyn Hughes, Season: Total
Player: John Hughes, Season: 
Player: John Hughes, Season: Total
Player: Barry Hulshoff, Season: Total
Player: Sami Hyypiä, Season: Total
Player: Mario Ielpo, Season: Total
Player: Bodo Illgner, Season: Total
Player: Augusto Inácio, Season: 
Player: Augusto Inácio, Season: Total
Player: Andrés Iniesta, Season: Total
Player: Filippo Inzaghi, Season: Total
Player: Ștefan Iovan, Season: Total
Player: Ștefan Iovan, Season: 
Player: Colin Irwin, Season: Total
Player: Denis Irwin, Season: Total
Player: Rinus Israël, Season: 
Player: Rinus Israël, Season: 
Player: Rinus Israël, Season: Total
Player: Branislav Ivanović, Season: 
Player: Branislav Ivanović, Season: Total
Player: Reece James, Season: 
Player: Carsten Jancker, Season: Total
Player: Edgaras Jankauskas, Season: 
Player: Edgaras Jankauskas, Season: Total
Player: Marek Jankulovski, Season: Total
Player: Wim Jansen, Season: Total
Player: Jens Jeremies, Season: Total
Player: Ronny Johnsen, Season: 
Player: Ronny Johnsen, Season: 
Player: Ronny Johnsen, Season: Total
Player: David Johnson, Season: 
Player: David Johnson, Season: Total
Player: Craig Johnston, Season: 
Player: Craig Johnston, Season: 
Player: Craig Johnston, Season: Total
Player: Jimmy Johnstone, Season: Total
Player: Joey Jones, Season: Total
Player: Joey Jones, Season: 
Player: Albert Jorquera, Season: 
Player: Albert Jorquera, Season: Total
Player: José Augusto, Season: Total
Player: José Augusto, Season: 
Player: José Augusto, Season: 
Player: Joseíto, Season: 
Player: Josemi, Season: 
Player: Josemi, Season: Total
Player: Milić Jovanović, Season: Total
Player: Juan Carlos, Season: 
Player: Juan Carlos, Season: Total
Player: Juary, Season: Total
Player: Vladimir Jugović, Season: Total
Player: Júlio César, Season: Total
Player: Júlio César, Season: Total
Player: Júlio César, Season: Total
Player: Roque Júnior, Season: Total
Player: Oliver Kahn, Season: Total
Player: Kaká, Season: Total
Player: Zeljko Kalac, Season: Total
Player: Kakha Kaladze, Season: Total
Player: Salomon Kalou, Season: Total
Player: Manfred Kaltz, Season: Total
Player: Željko Kaluđerović, Season: 
Player: Nwankwo Kanu, Season: Total
Player: Jupp Kapellmann, Season: Total
Player: Aitor Karanka, Season: 
Player: Aitor Karanka, Season: 
Player: Aitor Karanka, Season: Total
Player: Christian Karembeu, Season: 
Player: Christian Karembeu, Season: Total
Player: Kevin Keegan, Season: 
Player: Kevin Keegan, Season: Total
Player: Seydou Keita, Season: Total
Player: Caoimhín Kelleher, Season: 
Player: Alan Kennedy, Season: Total
Player: Ray Kennedy, Season: Total
Player: Willy van de Kerkhof, Season: 
Player: Willy van de Kerkhof, Season: Total
Player: Harry Kewell, Season: Total
Player: Sami Khedira, Season: Total
Player: Brian Kidd, Season: Total
Player: Wim Kieft, Season: 
Player: Wim Kieft, Season: Total
Player: Ove Kindvall, Season: 
Player: Ove Kindvall, Season: Total
Player: Jovan Kirovski, Season: Total
Player: Gerrie Kleton, Season: Total
Player: Stefan Klos, Season: 
Player: Stefan Klos, Season: 
Player: Stefan Klos, Season: Total
Player: Patrick Kluivert, Season: Total
Player: Ronald Koeman, Season: 
Player: Ronald Koeman, Season: 
Player: Ronald Koeman, Season: Total
Player: Jürgen Kohler, Season: Total
Player: Adick Koot, Season: 
Player: Adick Koot, Season: Total
Player: Raymond Kopa, Season: Total
Player: Rene Krhin, Season: Total
Player: Bojan Krkić, Season: 
Player: Bojan Krkić, Season: Total
Player: Ruud Krol, Season: Total
Player: Toni Kroos, Season: Total
Player: Samuel Kuffour, Season: 
Player: Samuel Kuffour, Season: Total
Player: Tomasz Kuszczak, Season: Total
Player: Marius Lăcătuș, Season: Total
Player: Marius Lăcătuș, Season: 
Player: Philipp Lahm, Season: Total
Player: Paul Lambert, Season: Total
Player: Frank Lampard, Season: Total
Player: Henrik Larsson, Season: Total
Player: Brian Laudrup, Season: Total
Player: Michael Laudrup, Season: Total
Player: Martin Laursen, Season: 
Player: Martin Laursen, Season: Total
Player: Denis Law, Season: Total
Player: Sammy Lee, Season: Total
Player: Bobby Lennox, Season: 
Player: Bobby Lennox, Season: Total
Player: Gianluigi Lentini, Season: 
Player: Gianluigi Lentini, Season: Total
Player: Søren Lerby, Season: 
Player: Søren Lerby, Season: 
Player: Søren Lerby, Season: Total
Player: Rafael Lesmes, Season: 
Player: Rafael Lesmes, Season: Total
Player: Bruno Limido, Season: 
Player: Bruno Limido, Season: Total
Player: Alec Lindsay, Season: Total
Player: Thomas Linke, Season: Total
Player: Jari Litmanen, Season: Total
Player: Bixente Lizarazu, Season: Total
Player: Larry Lloyd, Season: 
Player: Larry Lloyd, Season: Total
Player: Giovanni Lodetti, Season: Total
Player: Patrick Lodewijks, Season: 
Player: Patrick Lodewijks, Season: 
Player: Patrick Lodewijks, Season: Total
Player: Diego López, Season: Total
Player: Maxi López, Season: Total
Player: Lúcio, Season: Total
Player: Rabah Madjer, Season: Total
Player: Jaime Magalhães, Season: Total
Player: Felix Magath, Season: Total
Player: Maicon, Season: Total
Player: Mihail Majearu, Season: 
Player: Mihail Majearu, Season: Total
Player: Claude Makélélé, Season: Total
Player: Saul Malatrasi, Season: 
Player: Cesare Maldini, Season: Total
Player: Florent Malouda, Season: 
Player: Florent Malouda, Season: 
Player: Florent Malouda, Season: 
Player: Florent Malouda, Season: Total
Player: Mario Mandžukić, Season: Total
Player: Maniche, Season: Total
Player: McDonald Mariga, Season: 
Player: Mário João, Season: Total
Player: Slobodan Marović, Season: 
Player: Rafael Márquez, Season: Total
Player: Marquitos, Season: 
Player: Marquitos, Season: 
Player: Marquitos, Season: 
Player: Marquitos, Season: Total
Player: Javier Mascherano, Season: Total
Player: Daniele Massaro, Season: Total
Player: Enrique Mateos, Season: 
Player: Enrique Mateos, Season: 
Player: Enrique Mateos, Season: Total
Player: Enrique Mateos, Season: ?–?
Player: Marco Materazzi, Season: Total
Player: Jérémy Mathieu, Season: Total
Player: Maxwell, Season: Total
Player: David May, Season: Total
Player: Joe McBride, Season: 
Player: Joe McBride, Season: 
Player: Joe McBride, Season: Total
Player: Benni McCarthy, Season: 
Player: Benni McCarthy, Season: 
Player: Benni McCarthy, Season: Total
Player: Benni McCarthy, Season: 
Player: Terry McDermott, Season: 
Player: Terry McDermott, Season: Total
Player: Terry McDermott, Season: 
Player: Peter McDonnell, Season: Total
Player: John McGovern, Season: Total
Player: Steve McManaman, Season: Total
Player: Raul Meireles, Season: Total
Player: Pedro Mendes, Season: Total
Player: Siniša Mihajlović, Season: 
Player: Siniša Mihajlović, Season: Total
Player: Predrag Mijatović, Season: 
Player: Predrag Mijatović, Season: 
Player: Predrag Mijatović, Season: 
Player: Predrag Mijatović, Season: Total
Player: Mikel John Obi, Season: Total
Player: Jürgen Milewski, Season: 
Player: Jürgen Milewski, Season: Total
Player: Diego Milito, Season: 
Player: Diego Milito, Season: Total
Player: Gabriel Milito, Season: 
Player: Gabriel Milito, Season: Total
Player: Gary Mills, Season: Total
Player: Gary Mills, Season: 
Player: Ljubiša Milojević, Season: Total
Player: Óscar Miñambres, Season: Total
Player: Józef Młynarczyk, Season: 
Player: Andreas Möller, Season: Total
Player: Luis Molowny, Season: 
Player: Luis Molowny, Season: Total
Player: Ivica Momčilović, Season: 
Player: Bruno Mora, Season: Total
Player: Fernando Morientes, Season: 
Player: Fernando Morientes, Season: Total
Player: Thiago Motta, Season: Total
Player: Coen Moulijn, Season: 
Player: Coen Moulijn, Season: Total
Player: Mason Mount, Season: 
Player: Mason Mount, Season: 
Player: Arnold Mühren, Season: Total
Player: Arnold Mühren, Season: 
Player: Arnold Mühren, Season: 
Player: Gerrie Mühren, Season: 
Player: Gerd Müller, Season: Total
Player: Pedro Munitis, Season: 
Player: Pedro Munitis, Season: Total
Player: Miguel Muñoz, Season: Total
Player: Sulley Muntari, Season: Total
Player: Bobby Murdoch, Season: Total
Player: Roberto Mussi, Season: 
Player: Roberto Mussi, Season: Total
Player: Miguel Ángel Nadal, Season: Total
Player: Ilija Najdoski, Season: 
Player: Ilija Najdoski, Season: Total
Player: Nando, Season: 
Player: Nando, Season: Total
Player: Stefano Nava, Season: 
Player: Stefano Nava, Season: Total
Player: Phil Neal, Season: Total
Player: David Needham, Season: Total
Player: Alessandro Nesta, Season: Total
Player: Phil Neville, Season: Total
Player: Antonio Núñez, Season: Total
Player: Massimo Oddo, Season: Total
Player: Álvaro Odriozola, Season: 
Player: Perica Ognjenović, Season: Total
Player: John O'Hare, Season: 
Player: John O'Hare, Season: Total
Player: Oleguer Presas, Season: 
Player: Oleguer Presas, Season: 
Player: Oleguer Presas, Season: Total
Player: Ricardo Oliveira, Season: Total
Player: Pascal Olmeta, Season: Total
Player: Roque Olsen, Season: 
Player: Martin O'Neill, Season: 
Player: Martin O'Neill, Season: Total
Player: Willie O'Neill, Season: 
Player: Willie O'Neill, Season: Total
Player: Willie O'Neill, Season: 
Player: Paolo Orlandoni, Season: Total
Player: Stefan Ortega, Season: 
Player: Stefan Ortega, Season: 
Player: Stefan Ortega, Season: 
Player: John O'Shea, Season: Total
Player: Tarik Oulida, Season: Total
Player: Marc Overmars, Season: Total
Player: Jaime Pacheco, Season: 
Player: Jaime Pacheco, Season: Total
Player: Pachín, Season: 
Player: Pachín, Season: 
Player: Michele Padovano, Season: Total
Player: Darko Pančev, Season: Total
Player: Goran Pandev, Season: Total
Player: Christian Panucci, Season: Total
Player: Jean-Pierre Papin, Season: Total
Player: Park Ji-sung, Season: Total
Player: Park Ji-sung, Season: Hangul
Player: Park Ji-sung, Season: Hanja
Player: Park Ji-sung, Season: Revised Romanization
Player: Park Ji-sung, Season: McCune–Reischauer
Player: Paulo Sérgio, Season: Total
Player: Francisco Pavón, Season: 
Player: Francisco Pavón, Season: Total
Player: Andrea Pazzagli, Season: Total
Player: Steinar Pedersen, Season: Total
Player: Joaquín Peiró, Season: 
Player: Joaquín Peiró, Season: 
Player: Joaquín Peiró, Season: 
Player: Joaquín Peiró, Season: 
Player: Joaquín Peiró, Season: 
Player: Joaquín Peiró, Season: Total
Player: César Peixoto, Season: Total
Player: Abedi Pele, Season: Total
Player: Pepe, Season: Total
Player: Costa Pereira, Season: 
Player: Costa Pereira, Season: 
Player: Costa Pereira, Season: 
Player: Angelo Peruzzi, Season: Total
Player: Gianluca Pessotto, Season: Total
Player: Armando Picchi, Season: Total
Player: José Manuel Pinto, Season: Total
Player: Stefano Pioli, Season: Total
Player: Gerard Piqué, Season: Total
Player: Andrea Pirlo, Season: Total
Player: Pirri, Season: 
Player: Pirri, Season: 
Player: Pirri, Season: 
Player: Pirri, Season: Total
Player: Constantin Pistol, Season: Total
Player: Victor Pițurcă, Season: Total
Player: Claudio Pizarro, Season: Total
Player: Michel Platini, Season: Position(s)
Player: Michel Platini, Season: Total
Player: Sergio Porrini, Season: Total
Player: Javier Portillo, Season: Total
Player: Pierino Prati, Season: Total
Player: Robert Prosinečki, Season: Total
Player: Ferenc Puskás, Season: Total
Player: Carles Puyol, Season: Total
Player: Ricardo Quaresma, Season: Total
Player: Quim, Season: Total
Player: Marin Radu, Season: Total
Player: Marin Radu, Season: 1998–?
Player: Marin Radu, Season: 2010–?
Player: Florin Răducioiu, Season: Total
Player: Ramires, Season: Total
Player: Michelangelo Rampulla, Season: Total
Player: Raúl, Season: Total
Player: Fabrizio Ravanelli, Season: Total
Player: Fernando Redondo, Season: 
Player: Fernando Redondo, Season: Total
Player: Knut Reinhardt, Season: 
Player: Knut Reinhardt, Season: Total
Player: Michael Reiziger, Season: 
Player: Michael Reiziger, Season: Total
Player: Johnny Rep, Season: Total
Player: Stefan Reuter, Season: Total
Player: Franck Ribéry, Season: Total
Player: Lars Ricken, Season: Total
Player: Karl-Heinz Riedle, Season: 
Player: Karl-Heinz Riedle, Season: 
Player: Karl-Heinz Riedle, Season: Total
Player: John Arne Riise, Season: Total
Player: Frank Rijkaard, Season: Total
Player: Nico Rijnders, Season: Total
Player: Jimmy Rimmer, Season: Total
Player: Rivaldo, Season: Total
Player: Gianni Rivera, Season: Total
Player: Arjen Robben, Season: Total
Player: Roberto Carlos, Season: Total
Player: John Robertson, Season: Total
Player: Michael Robinson, Season: Total
